country,location,loc_code,lat,lon,cycle,SowingDateQC,Days_To_Heading,Days_To_Maturity,ObsYield,UID,Heading_date,Maturity_date,Date@35DAS,DayLength@35DAS,Obs_DaysHM
Nepal,Bhairahawa,BHR,27.5,83.45,2019,2018-11-26,89,122,2.967,1,2019-02-23,2019-03-28,2018-12-31,10.283909499397748,33
Pakistan,Faisalabad,FAS,31.398,73.054,2014,2013-11-23,95,139,4.882,2,2014-02-26,2014-04-11,2013-12-28,9.964940719031995,44
Pakistan,Faisalabad,FAS,31.398,73.054,2015,2014-12-03,77,121,3.591,3,2015-02-18,2015-04-03,2015-01-07,10.049674886633216,44
Pakistan,Faisalabad,FAS,31.398,73.054,2016,2015-12-07,89,133,2.864,4,2016-03-05,2016-04-18,2016-01-11,10.10315756621651,44
Pakistan,Faisalabad,FAS,31.398,73.054,2017,2016-11-21,94,138,3.933,5,2017-02-23,2017-04-08,2016-12-26,9.961006130265371,44
Pakistan,Faisalabad,FAS,31.398,73.054,2018,2017-11-29,97,142,3.334,6,2018-03-06,2018-04-20,2018-01-03,10.007404966432997,45
Bangladesh,Jamalpur,JAM,24.934,89.916,2016,2015-12-05,70,104,2.069,7,2016-02-13,2016-03-18,2016-01-09,10.540376211344068,34
Bangladesh,Jamalpur,JAM,24.934,89.916,2017,2016-11-26,69,109,2.676,8,2017-02-03,2017-03-15,2016-12-31,10.475313451540885,40
Bangladesh,Jamalpur,JAM,24.934,89.916,2018,2017-11-29,75,110,2.163,9,2018-02-12,2018-03-19,2018-01-03,10.489573644759073,35
Bangladesh,Jamalpur,JAM,24.934,89.916,2019,2018-11-28,77,115,2.65,10,2019-02-13,2019-03-23,2019-01-02,10.483012117284353,38
Nepal,Kathmandu,KHU,27.654,85.325,2019,2018-11-29,117,160,5.079,11,2019-03-26,2019-05-08,2019-01-03,10.29456228769668,43
India,Ludhiana,LDH-NS,30.991,75.736,2014,2013-11-13,102,146,4.908,12,2014-02-23,2014-04-08,2013-12-18,9.99409525195235,44
India,Ludhiana,LDH-NS,30.991,75.736,2015,2014-11-13,102,143,4.583,13,2015-02-23,2015-04-05,2014-12-18,9.99409525195235,41
India,Ludhiana,LDH-NS,30.991,75.736,2016,2015-11-05,101,148,5.335,14,2016-02-14,2016-04-01,2015-12-10,10.045783489841796,47
India,Ludhiana,LDH-NS,30.991,75.736,2017,2016-11-07,106,149,5.814,15,2017-02-21,2017-04-05,2016-12-12,10.020837709094522,43
India,Ludhiana,LDH-NS,30.991,75.736,2018,2017-11-11,105,145,6.019,16,2018-02-24,2018-04-05,2017-12-16,10.002529998810195,40
India,Ludhiana,LDH-NS,30.991,75.736,2019,2018-11-10,112,153,5.865,17,2019-03-02,2019-04-12,2018-12-15,10.007883855914017,41
India,Ludhiana,LDH-NS,30.991,75.736,2020,2019-11-05,109,156,6.823,18,2020-02-22,2020-04-09,2019-12-10,10.045783489841796,47
India,Ludhiana,LDH-NS,30.991,75.736,2021,2020-11-05,103,146,6.412,19,2021-02-16,2021-03-31,2020-12-10,10.036742869899069,43
USA,Arizona,ARZ,33.06,-111.98,2011,2010-12-15,111,149,6.37,20,2011-04-05,2011-05-13,2011-01-19,10.121603532541217,38
USA,Arizona,ARZ,33.06,-111.98,2012,2011-12-09,116,155,6.566,21,2012-04-03,2012-05-12,2012-01-13,10.007132764670084,39
China,Zhengzhou,ZHE,24.85,113.58,2016,2015-10-12,189,234,5.515,22,2016-04-18,2016-06-02,2015-11-16,10.80905167936498,45
China,Zhengzhou,ZHE,24.85,113.58,2017,2016-10-14,192,231,5.72,23,2017-04-24,2017-06-02,2016-11-18,10.757466193628554,39
USA,Colorado,COL,40.449,-104.64,2010,2009-11-11,194,230,6.079,24,2010-05-24,2010-06-29,2009-12-16,9.13000198303599,36
